Table 3:,Average Travel Time in minutes and Sample Size (N) for the Metropolitan,,,,,,,,
,Washington Region by Mode and Purpose (A.M. and P.M. Peak Period),,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,P  U  R  P  O  S  E,,,,,
Mode,Year,,Home to Work,Work to,Home to ,Other to ,Work to,Other to ,Other to
,,,Work,Home,Other,Home,Other,Work,Other
,,,,,,,,,
AUTO-1,1968,Time,28.3,32.5,19.2,17.8,27.3,24.4,17.9
,,N,11633,9124,3823,3656,996,341,738
,,,,,,,,,
,1988,Time,28.9,32.5,18.6,19.9,26.6,25.8,17.8
,,N,3260,2181,1378,1456,847,734,726
,,,,,,,,,
AUTO-2,1968,Time,32.3,36.4,17.2,17.9,27.8,25.8,17.1
,,N,4962,3792,7068,4191,399,178,1337
,,,,,,,,,
,1988,Time,31.2,32.3,18.1,18.7,26.4,32.9,17
,,N,311,196,1025,651,180,148,530
,,,,,,,,,
AUTO-3,1968,Time,40.7,47.3,17.3,18.5,32.3,35,15.1
,,N,403,324,1194,745,33,27,256
,,, ,,,,,,
,1988,Time,37.8,44.1,16.7,15.1,30.1,33.5,18.2
,,N,105,70,601,298,57,50,233
,,,,,,,,,
TRANSIT,1968,Time,44.3,51.4,39.6,42.8,38.5,36.8,33.5
,,N,3176,2693,875,391,172,44,72
,,,,,,,,,
,1988,Time,42.8,46,36,36.3,37.6,27.2,34.6
,,N,991,800,174,182,159,132,87
,,,,,,,,,
,,,,,,,,,
ALL,1968,Time,32.0504312481412,36.9236302014687,19.3115277777778,18.9928754313704,28.7318125,26.2322033898305,17.6240116521015
MODES,,N,20174,15933,12960,8983,1600,590,2403
,,,,,,,,,
,1988,Time,32.2050567816585,36.0641515244841,19.0320956576463,20.1988790104368,28.1386162510056,27.3231203007519,18.5175126903553
,,N,4667,3247,3178,2587,1243,1064,1576
,,,,,,,,,
,,,,,,,,,
Source: 1968 and 1987/88 Metropolitan Washington Council of Governments Household,,,,,,,,,
        Travel Surveys.,,,,,,,,,
        A.M. Peak: 6-9 A.M.;   P.M. Peak: 3:30-6:30 P.M.,,,,,,,,,
